 0.000000  1.358380
 0.227000  1.358380
 0.454000  1.358380
  0.4557347     1.3631365
  0.7983320     1.4371040
  0.7988207     1.4372096
  0.8381949     1.4416445
  0.9089077     1.4297014
  1.0142577     1.3916861
  1.0147280     1.3915137
  1.0485905     1.3792936
  1.0394643     1.3990000
  1.0256029     1.4362292
  1.0209536     1.4591901
  1.0251372     1.4779060
  1.0545388     1.5449423
  1.0839404     1.6120410
  1.0958619     1.6350613
  1.1139974     1.6605370
  1.1176454     1.6651900
  1.1418324     1.6955000
  1.1621086     1.7066846
  1.1309287     1.7138828
  1.1304415     1.7139953
  1.0330044     1.7364900
  0.9698324     1.7632352
  0.9256698     1.8019896
  0.9253469     1.8023714
  0.8092228     1.9397201
 0.783389  1.970626
 0.688380  2.074954
 0.589040  2.177103
 0.489700  2.279253
 0.490000  2.370000
  0.00000  2.370000
 -0.490000 2.370000
 -0.489700 2.279253
 -0.589040 2.177103
 -0.688380 2.074954
 -0.787720 1.972804
 -0.783389 1.970626
 -0.832375 1.920587
 -0.881361 1.870549
 -0.930347 1.820510
 -1.050342 1.792808
 -1.170336 1.765106
 -1.139169 1.754209
 -1.034653 1.677820
 -0.930138 1.601431
 -0.953380 1.484258
 -0.976622 1.367086
 -1.010716 1.331323
 -0.879327 1.378736
 -0.747939 1.426149
 -0.650620 1.405277
 -0.553300 1.384404
 -0.455981 1.363531
 -0.454000 1.358380
 -0.227000 1.358380
  0.000000  1.358380
